"GÜN","SICAKLIK","ELEKTRİK","MESKEN","ENDÜSTRİ"
"1/1/2016","-11.1","6888.86","168472","89"
"1/2/2016","-14.2","7251.91","168472","89"
"1/3/2016","-17","7372.09","168472","89"
"1/4/2016","-9.5","7445.81","168472","89"
"1/5/2016","-3.1","7418.96","168472","89"
"1/6/2016","-0.3","7008.95","168472","89"
"1/7/2016","1.8","7176.78","168472","89"
"1/8/2016","1.5","6595","168472","89"
"1/9/2016","-2.2","6900.85","168472","89"
"1/10/2016","-6.48","7048.81","168472","89"
"1/11/2016","-4.6","7237.16","168472","89"
"1/12/2016","-2.8","7024.52","168472","89"
"1/13/2016","-1.7","6806.59","168472","89"
"1/14/2016","0.7","6806.59","168472","89"
"1/15/2016","-6.3","6782.05","168472","89"
"1/16/2016","-10.3","6777.97","168472","89"
"1/17/2016","-8.6","6774.27","168472","89"
"1/18/2016","-2.7","6749.74","168472","89"
"1/19/2016","-0.7","6553.01","168472","89"
"1/20/2016","-6.8","6926.73","168472","89"
"1/21/2016","-7.5","7200.11","168472","89"
"1/22/2016","-2.1","6540.16","168472","89"
"1/23/2016","-2.5","6277.94","168472","89"
"1/24/2016","-6.3","6155.79","168472","89"
"1/25/2016","-11","6350.37","168472","89"
"1/26/2016","-17","6612.55","168472","89"
"1/27/2016","-22.6","6826.72","168472","89"
"1/28/2016","-21","7080.72","168472","89"
"1/29/2016","-13.1","7009.99","168472","89"
"1/30/2016","-4","6668.65","168472","89"
"1/31/2016","-5.3","6255.59","168472","89"
"2/1/2016","-7.8","7661.37","168881","89"
"2/2/2016","-5.2","7494.76","168881","89"
"2/3/2016","-12.9","7456.97","168881","89"
"2/4/2016","-11.8","7358.2","168881","89"
"2/5/2016","-4.8","7260.24","168881","89"
"2/6/2016","-0.7","6959.88","168881","89"
"2/7/2016","-3.2","6479.04","168881","89"
"2/8/2016","-4.7","6501.77","168881","89"
"2/9/2016","-7.9","6520.83","168881","89"
"2/10/2016","-13.1","6408.76","168881","89"
"2/11/2016","-13.7","6532.76","168881","89"
"2/12/2016","-7.6","6366.7","168881","89"
"2/13/2016","-5.8","6226.57","168881","89"
"2/14/2016","-1.1","6466.02","168881","89"
"2/15/2016","1.1","6642.13","168881","89"
"2/16/2016","0.7","6755.35","168881","89"
"2/17/2016","-0.6","6815.87","168881","89"
"2/18/2016","-0.5","6779.95","168881","89"
"2/19/2016","2.4","6491.99","168881","89"
"2/20/2016","0.9","6549.9","168881","89"
"2/21/2016","1","6691.12","168881","89"
"2/22/2016","3","6746.29","168881","89"
"2/23/2016","3.2","6706.1","168881","89"
"2/24/2016","2.1","6590.27","168881","89"
"2/25/2016","0.9","6382.24","168881","89"
"2/26/2016","2.8","6224.65","168881","89"
"2/27/2016","2.7","6060.01","168881","89"
"2/28/2016","3.6","6536.38","168881","89"
"2/29/2016","3.6","6664.48","168881","89"
"3/1/2016","1.9","6636.36","169498","89"
"3/2/2016","3.1","6567.52","169498","89"
"3/3/2016","5.5","5863.64","169498","89"
"3/4/2016","4.6","5775.51","169498","89"
"3/5/2016","4.8","5973.25","169498","89"
"3/6/2016","0.1","5792.17","169498","89"
"3/7/2016","-1.1","5613.82","169498","89"
"3/8/2016","0.5","5478.66","169498","89"
"3/9/2016","2.4","5400.05","169498","89"
"3/10/2016","4.4","5599.01","169498","89"
"3/11/2016","4.9","5543.41","169498","89"
"3/12/2016","3.1","5366.7","169498","89"
"3/13/2016","2.9","5412.13","169498","89"
"3/14/2016","3","5396.54","169498","89"
"3/15/2016","-0.7","5265.13","169498","89"
"3/16/2016","-3.8","5364.4","169498","89"
"3/17/2016","-4.9","5334.92","169498","89"
"3/18/2016","-2.4","5290.97","169498","89"
"3/19/2016","0.5","5111.96","169498","89"
"3/20/2016","-1.1","5046.64","169498","89"
"3/21/2016","-5","4858.24","169498","89"
"3/22/2016","-2.1","5111.41","169498","89"
"3/23/2016","3.2","5124.47","169498","89"
"3/24/2016","6.7","5097.09","169498","89"
"3/25/2016","7","5137.98","169498","89"
"3/26/2016","4.5","4636.60","169498","89"
"3/27/2016","3.6","6060.01","169498","89"
"3/28/2016","2.4","6536.38","169498","89"
"3/29/2016","-1.5","6636.36","169498","89"
"3/30/2016","-0.4","6567.52","169498","89"
"3/31/2016","0.3","5863.64","169498","89"
"4/1/2016","1.5","5863.64","169944","89"
"4/2/2016","6","5775.51","169944","89"
"4/3/2016","2.6","5973.25","169944","89"
"4/4/2016","3.5","5792.17","169944","89"
"4/5/2016","8.5","5613.82","169944","89"
"4/6/2016","9.3","5478.66","169944","89"
"4/7/2016","9","5461.15","169944","89"
"4/8/2016","9.8","5230.06","169944","89"
"4/9/2016","9","5400.05","169944","89"
"4/10/2016","6.9","5599.01","169944","89"
"4/11/2016","7.7","5543.41","169944","89"
"4/12/2016","8.2","5366.7","169944","89"
"4/13/2016","6.9","5412.13","169944","89"
"4/14/2016","8.1","5396.54","169944","89"
"4/15/2016","9.4","5265.13","169944","89"
"4/16/2016","6","5364.4","169944","89"
"4/17/2016","7.4","5334.92","169944","89"
"4/18/2016","8.7","5532.34","169944","89"
"4/19/2016","9.9","5111.96","169944","89"
"4/20/2016","13.1","5046.64","169944","89"
"4/21/2016","9.2","4858.24","169944","89"
"4/22/2016","2.2","5111.41","169944","89"
"4/23/2016","8.7","5124.47","169944","89"
"4/24/2016","12","5097.09","169944","89"
"4/25/2016","10.2","5137.98","169944","89"
"4/26/2016","11.2","4636.6","169944","89"
"4/27/2016","12.6","4999.65","169944","89"
"4/28/2016","7.8","5265.68","169944","89"
"4/29/2016","7.7","5139.2","169944","89"
"4/30/2016","7.7","5255.71","169944","89"
"5/1/2016","8.6","5408.12","170567","89"
"5/2/2016","11.3","5320.8","170567","89"
"5/3/2016","12.3","5268.56","170567","89"
"5/4/2016","10.5","5072.66","170567","89"
"5/5/2016","10.1","5003.32","170567","89"
"5/6/2016","6.6","5201.46","170567","89"
"5/7/2016","5.9","5439.44","170567","89"
"5/8/2016","8","5290.55","170567","89"
"5/9/2016","9.9","5273.51","170567","89"
"5/10/2016","9.9","5225.27","170567","89"
"5/11/2016","10.2","5205.63","170567","89"
"5/12/2016","11.3","5270.33","170567","89"
"5/13/2016","10.8","5339.92","170567","89"
"5/14/2016","15.1","5125.43","170567","89"
"5/15/2016","14.6","4989","170567","89"
"5/16/2016","13.3","4805.43","170567","89"
"5/17/2016","14.9","4774.05","170567","89"
"5/18/2016","13","4880.1","170567","89"
"5/19/2016","8.6","5095.51","170567","89"
"5/20/2016","10.9","4889.74","170567","89"
"5/21/2016","12.8","4899.96","170567","89"
"5/22/2016","14.9","4778.26","170567","89"
"5/23/2016","12","4787.01","170567","89"
"5/24/2016","10","4900.18","170567","89"
"5/25/2016","11.4","4843.16","170567","89"
"5/26/2016","10.3","4898.3","170567","89"
"5/27/2016","8.7","5218.47","170567","89"
"5/28/2016","12.2","4930.91","170567","89"
"5/29/2016","9.1","5045.89","170567","89"
"5/30/2016","10.1","5149.82","170567","89"
"5/31/2016","11.8","5014","170567","89"
"6/1/2016","11.3","4870.25","171042","89"
"6/2/2016","13.1","4828.84","171042","89"
"6/3/2016","14.6","4820.54","171042","89"
"6/4/2016","15.4","4676.69","171042","89"
"6/5/2016","11.7","4868.5","171042","89"
"6/6/2016","13.9","4534.51","171042","89"
"6/7/2016","10.2","4723.93","171042","89"
"6/8/2016","9.8","4867.93","171042","89"
"6/9/2016","8.7","4987.89","171042","89"
"6/10/2016","11.2","4783.68","171042","89"
"6/11/2016","9.7","4831.04","171042","89"
"6/12/2016","11.6","4676.72","171042","89"
"6/13/2016","14.8","4612.67","171042","89"
"6/14/2016","17.2","4549.88","171042","89"
"6/15/2016","15.6","4541.77","171042","89"
"6/16/2016","12.3","4706.92","171042","89"
"6/17/2016","13.2","4696.92","171042","89"
"6/18/2016","13.7","4746.91","171042","89"
"6/19/2016","15","4656.38","171042","89"
"6/20/2016","15","4611.41","171042","89"
"6/21/2016","17.4","4565.02","171042","89"
"6/22/2016","18.3","4560.32","171042","89"
"6/23/2016","18.7","4596.13","171042","89"
"6/24/2016","19.5","4523","171042","89"
"6/25/2016","18.6","4597.95","171042","89"
"6/26/2016","19.4","4479.13","171042","89"
"6/27/2016","21.6","4605.45","171042","89"
"6/28/2016","21.9","4633.03","171042","89"
"6/29/2016","20.1","4712.11","171042","89"
"6/30/2016","19.7","4605.71","171042","89"
"7/1/2016","18.8","4578.96","171518","89"
"7/2/2016","19.3","4568.39","171518","89"
"7/3/2016","19.8","4488.37","171518","89"
"7/4/2016","18.7","4760.63","171518","89"
"7/5/2016","17.3","3627.55","171518","89"
"7/6/2016","18.1","3317.68","171518","89"
"7/7/2016","18.6","3577.98","171518","89"
"7/8/2016","16.4","3885.93","171518","89"
"7/9/2016","17.2","4037.78","171518","89"
"7/10/2016","17.9","3961.75","171518","89"
"7/11/2016","14.9","4312.5","171518","89"
"7/12/2016","16","4318.23","171518","89"
"7/13/2016","18.7","4448.66","171518","89"
"7/14/2016","19.6","4441.52","171518","89"
"7/15/2016","21.3","4588.49","171518","89"
"7/16/2016","22.6","4536.41","171518","89"
"7/17/2016","23.5","4210.62","171518","89"
"7/18/2016","24","4689.7","171518","89"
"7/19/2016","21.7","4663.64","171518","89"
"7/20/2016","22","4685.01","171518","89"
"7/21/2016","22.9","4685.01","171518","89"
"7/22/2016","21","4745.52","171518","89"
"7/23/2016","19.9","4790.69","171518","89"
"7/24/2016","18.7","4656.18","171518","89"
"7/25/2016","18.2","4177.65","171518","89"
"7/26/2016","20","4599.18","171518","89"
"7/27/2016","21.1","4666.61","171518","89"
"7/28/2016","20.1","4766.2","171518","89"
"7/29/2016","19.9","4677.7","171518","89"
"7/30/2016","20.1","4770.4","171518","89"
"7/31/2016","17.9","4664.88","171518","89"
"8/1/2016","20.2","4308.6","172183","89"
"8/2/2016","21.1","4644.56","172183","89"
"8/3/2016","22.4","4676.18","172183","89"
"8/4/2016","23.3","4583.47","172183","89"
"8/5/2016","21.2","4410.2","172183","89"
"8/6/2016","22.6","4478.17","172183","89"
"8/7/2016","19.8","4336.97","172183","89"
"8/8/2016","18.2","4681.38","172183","89"
"8/9/2016","21.4","4638.01","172183","89"
"8/10/2016","23.6","4628.52","172183","89"
"8/11/2016","23.6","4622.94","172183","89"
"8/12/2016","21.7","4523.47","172183","89"
"8/13/2016","22.3","4538.4","172183","89"
"8/14/2016","21.3","4361.63","172183","89"
"8/15/2016","21.1","4760.24","172183","89"
"8/16/2016","22","4755.2","172183","89"
"8/17/2016","20.2","4575.73","172183","89"
"8/18/2016","20.6","4541.86","172183","89"
"8/19/2016","23.5","4555.01","172183","89"
"8/20/2016","23.7","4605.56","172183","89"
"8/21/2016","25.2","4410.85","172183","89"
"8/22/2016","22.9","4863.54","172183","89"
"8/23/2016","22.7","4798.49","172183","89"
"8/24/2016","22","4744.64","172183","89"
"8/25/2016","20.7","4535.97","172183","89"
"8/26/2016","20.2","4414.67","172183","89"
"8/27/2016","21.4","4489.54","172183","89"
"8/28/2016","22.8","4278.15","172183","89"
"8/29/2016","22.3","4744.06","172183","89"
"8/30/2016","23.2","4617.64","172183","89"
"8/31/2016","21.9","4610.19","172207.7","89"
"9/1/2016","16.3","4524.82","172775","89"
"9/2/2016","18","4495.17","172775","89"
"9/3/2016","19.2","4557.41","172775","89"
"9/4/2016","14.8","4184.27","172775","89"
"9/5/2016","15.4","4420.42","172775","89"
"9/6/2016","14.3","4441.18","172775","89"
"9/7/2016","14.8","4523.12","172775","89"
"9/8/2016","16.3","4559.41","172775","89"
"9/9/2016","17.5","4407.21","172775","89"
"9/10/2016","16.7","4417.36","172775","89"
"9/11/2016","9.2","4698.97","170410","89"
"9/12/2016","16.1","3780.21","172775","89"
"9/13/2016","17.7","3973.45","172775","89"
"9/14/2016","17.1","4080.81","172775","89"
"9/15/2016","14.5","4114.51","172775","89"
"9/16/2016","9.1","3949.23","172775","89"
"9/17/2016","11.4","4288.43","172775","89"
"9/18/2016","11.6","4349.94","172775","89"
"9/19/2016","13.2","4389.71","172775","89"
"9/20/2016","15.8","4445.66","172775","89"
"9/21/2016","12.1","4461.24","172775","89"
"9/22/2016","8.5","4620.53","172775","89"
"9/23/2016","5.2","4624.32","172775","89"
"9/24/2016","6.2","4921.45","172775","89"
"9/25/2016","9.9","4840.22","172775","89"
"9/26/2016","11.1","5017.53","172775","89"
"9/27/2016","8.1","4913.14","172775","89"
"9/28/2016","6.9","5013.32","172775","89"
"9/29/2016","5.1","5073.76","172808.6","89"
"9/30/2016","9.4","5405.61","173581","89"
"10/1/2016","10.9","5309.01","173581","89"
"10/2/2016","11.9","5092.32","173581","89"
"10/3/2016","11.9","5138.11","173581","89"
"10/4/2016","12.5","4986.91","173581","89"
"10/5/2016","12.8","5015.37","173581","89"
"10/6/2016","12.9","5013.63","173581","89"
"10/7/2016","13.2","5052.31","173581","89"
"10/8/2016","12.6","5051.51","173581","89"
"10/9/2016","11.5","4781.77","173581","89"
"10/10/2016","11.8","5007.43","173581","89"
"10/11/2016","10.9","4941.48","173581","89"
"10/12/2016","11.7","5021.27","173581","89"
"10/13/2016","11","5110.55","173581","89"
"10/14/2016","6.1","5190.08","173581","89"
"10/15/2016","7.6","5409.51","173581","89"
"10/16/2016","9.3","5130.75","173581","89"
"10/17/2016","4.9","5508.56","173581","89"
"10/18/2016","4.6","5730.54","173581","89"
"10/19/2016","6.4","5864.13","173581","89"
"10/20/2016","5.3","5823.59","173581","89"
"10/21/2016","6.1","5883.47","173581","89"
"10/22/2016","7.5","5980.92","173581","89"
"10/23/2016","7.3","5773.71","173581","89"
"10/24/2016","6.9","6021.12","173581","89"
"10/25/2016","4","5990.43","173581","89"
"10/26/2016","6.3","6091.97","173581","89"
"10/27/2016","9.3","6106.59","173581","89"
"10/28/2016","7.6","6219.15","173581","89"
"10/29/2016","7.1","6045.21","173581","89"
"10/30/2016","4.4","5918.69","173617.4","89"
"10/31/2016","-0.9","6177.74","174454","89"
"11/1/2016","-2.9","5007.46","174454","89"
"11/2/2016","-2.6","5215.95","174454","89"
"11/3/2016","-0.6","5940.72","174454","89"
"11/4/2016","1.5","6003.48","174454","89"
"11/5/2016","2.2","6241.75","174454","89"
"11/6/2016","2.9","6193.25","174454","89"
"11/7/2016","6","6376.38","174454","89"
"11/8/2016","6.8","6342.27","174454","89"
"11/9/2016","7.7","6196.43","174454","89"
"11/10/2016","6.3","6182.63","174454","89"
"11/11/2016","5.3","6066.44","174454","89"
"11/12/2016","6.9","6011.6","174454","89"
"11/13/2016","6.7","6008.59","174454","89"
"11/14/2016","5.5","6053.47","174454","89"
"11/15/2016","3.5","6127.08","174454","89"
"11/16/2016","-3","6060.35","174454","89"
"11/17/2016","-6.3","5841.11","174454","89"
"11/18/2016","-6.2","6107.84","174454","89"
"11/19/2016","-3.1","6238.74","174454","89"
"11/20/2016","-3.4","6129.5","174454","89"
"11/21/2016","-4.4","6477.73","174454","89"
"11/22/2016","-4","6520.99","174454","89"
"11/23/2016","-4.1","6534.89","174454","89"
"11/24/2016","-4.6","6568.71","174454","89"
"11/25/2016","-4.5","6588.78","174454","89"
"11/26/2016","-3.5","6511.99","174454","89"
"11/27/2016","-2.6","6488.95","174454","89"
"11/28/2016","0","6618.09","174454","89"
"11/29/2016","-0.5","6610.17","174492.3","89"
"11/30/2016","-0.2","6586.49","175373","89"
"12/1/2016","-0.7","6479.18","175373","89"
"12/2/2016","-3.9","5822.26","175373","89"
"12/3/2016","-1.6","5699.04","175373","89"
"12/4/2016","-3.8","5964.48","175373","89"
"12/5/2016","-11.8","6351.54","175373","89"
"12/6/2016","-13.2","6258.42","175373","89"
"12/7/2016","-11.8","6636.95","175373","89"
"12/8/2016","-10.7","6701.35","175373","89"
"12/9/2016","-2.8","6729.16","175373","89"
"12/10/2016","-1.5","6759.1","175373","89"
"12/11/2016","0.7","6608.36","175373","89"
"12/12/2016","-0.4","6691.49","175373","89"
"12/13/2016","-7.8","6470.66","175373","89"
"12/14/2016","-13.6","5902.63","175373","89"
"12/15/2016","-15","6368.91","175373","89"
"12/16/2016","-18.9","6836.64","175373","89"
"12/17/2016","-23","6819.76","175373","89"
"12/18/2016","-22.6","6882.65","175373","89"
"12/19/2016","-21.2","7353.2","175373","89"
"12/20/2016","-16.5","7426.79","175373","89"
"12/21/2016","-14.3","7593.29","175373","89"
"12/22/2016","-11.7","7500.74","175373","89"
"12/23/2016","-6.7","7505.76","175373","89"
"12/24/2016","-4.8","7236.54","175373","89"
"12/25/2016","-4","7012.84","175373","89"
"12/26/2016","-4.4","7142.36","175373","89"
"12/27/2016","-4.9","6976.14","175373","89"
"12/28/2016","-2.5","7129.5","175373","89"
"12/29/2016","-6.2","7073.11","175373","89"
"12/30/2016","-5.8","6986.84","175399.3","89.9"
"12/31/2016","-7","6991.58","176004","111"
